nach,166187,3
dem,256760,2
machtwechsel,49,7
kümmerte,205,7
sie,123215,2
sich,221590,3
mehr,32514,3
um,83465,1
und,961559,2
legte,2519,4
die,1235050,2
bestimmungen,857,7
nochmals,917,7
in,724687,1
der,1395602,2
von,488363,2
detaillierter,58,7
fest,4255,3
siehe,12601,4
auch,196936,3
liste,3734,4
skurriler,6,7
wissenschaftlicher,622,7
namen,13923,4
aus,149774,2
biologie,447,7
zur,91528,2
prinzipiellen,51,7
freiheit,1929,7
des,351676,2
autors,381,5
den,406303,2
zu,271997,1
vergeben,1449,7
sofern,1437,5
keine,21410,4
grundsätzlichen,170,7
regeln,2290,5
verletzt,952,7
werden,134190,5
heute,31366,4
sind,116578,3
folgenden,8402,7
regelwerke,40,7
akzeptiert,571,7
jahren,32307,5
vorgeschlagen,691,7
jedoch,40810,5
bislang,1875,6
ohne,18115,3
akzeptanz,333,7
zweifamilienhäusern,8,7
wird,117002,3
heizung,123,6
warmwasserbereitung,8,7
regel,7780,4
komplett,1435,7
durch,132912,4
regelung,1138,7
im,366144,1
heizkessel,20,7
realisiert,1022,7
gesamtsumme,40,7
verschuldung,137,7
stadt,38455,4
Gelsenkirchen,195,7
beläuft,120,6
zum,107742,2
jahresende,383,7
auf,238953,2
milliarden,2170,7
euro,5649,3
juli,12867,3
galten,995,5
staatsgebiet,312,7
nur,67636,2
noch,56027,3
danziger,200,7
briefmarken,228,7
liegt,19853,4
bei,145924,2
ungefähr,2096,7
prozent,8766,6
dienstleistungsbereich,44,7
wuchs,2197,4
demgegenüber,504,7
weiter,11034,5
an,163109,1
je,10877,1
art,10284,2
betreffenden,584,7
für,221832,2
betrieb,5436,6
senders,237,6
einer,125036,4
funkstation,21,7
erforderlich,1838,7
dort,21009,3
fällt,2061,4
blick,1268,4
über,84161,3
öresund,33,6
teilung,856,6
provinz,4891,6
pannonien,134,7
Pannonia,45,7
superior,140,7
Oberpannonien,17,7
inferior,96,7
musste,8323,5
erste,23415,4
statthalter,558,7
spätere,2479,6
kaiser,6756,5
Hadrian,206,6
jahr,42844,3
erneut,5524,5
einen,80438,4
krieg,7340,4
gegen,35055,4
kataphrakten,20,7
bogenschützen,102,7
jazygen,41,6
führen,6137,5
als,266277,2
genutzt,5836,6
verlängerung,986,7
rampe,93,4
brunnens,46,7
finden,9733,5
einige,17403,5
dutzend,387,6
meter,7230,4
entfernt,3404,7
gedenktafeln,57,7
das,346995,2
deutsche,14245,7
war,128270,2
elektronische,733,7
handelssystem,15,7
Berlin,9378,5
ansässigen,534,7
ag,3053,1
Exchange,74,7
ist,248032,2
inzwischen,4177,7
eine,245088,3
wertpapierbörse,39,7
geworden,3199,7
am,123052,1
erfolgreich,3282,7
Anne,498,3
Parillaud,7,7
weiterhin,6770,7
französischen,6961,7
film,6708,3
mit,332947,2
hauptrollen,238,7
wie,80050,2
gangsters,6,7
beim,24041,3
filmfestival,107,7
Paris,5218,4
beste,1479,4
hauptdarstellerin,129,7
ausgezeichnet,2033,7
wurde,207702,4
folgende,6735,7
führte,11470,5
aufsplitterung,16,7
wettinischen,54,7
macht,6159,4
fünf,10139,3
linien,1856,5
reichsdeputationshauptschluss,107,7
ort,8915,2
preußisch,148,7
kam,18450,2
verlorenen,373,7
doppelschlacht,13,7
Jena,612,3
Auerstedt,56,7
königreich,2885,7
westphalen,106,7
ab,43359,1
absam,7,4
gehört,8956,5
vogelschießen,8,7
vor,67228,2
brühler,33,6
tor,1610,2
erwähnt,4308,6
erhielt,11885,6
vom,51176,2
stadtmagistrat,15,7
verliehen,2189,7
weitere,21238,6
aktivitäten,1435,7
zielen,497,5
versorgung,1237,7
fachkräften,28,7
etwa,39335,3
verbesserung,1091,7
vereinbarkeit,40,7
familie,8213,6
beruf,740,4
modellprojekte,5,7
qualifizierung,38,7
arbeitskräften,112,7
sowie,45555,4
unterstützung,3749,7
unternehmensgründungen,11,7
beispielsweise,13216,7
stuttgarter,511,7
hochschulen,1004,7
push,12,3
oder,120893,3
vermittlung,655,7
zwischen,46476,7
gründern,68,7
privaten,1541,7
kapitalgebern,6,7
Business,292,7
angels,37,5
diese,62883,4
neu,8021,2
versionen,1091,7
wurden,77342,5
ihrem,9380,4
damaligen,4030,7
label,524,4
juni,12549,3
europaweit,261,7
weltweit,4380,7
etwas,6264,4
später,25226,5
veröffentlicht,4489,7
denn,5572,3
obwohl,6694,5
slots,14,4
grafikkarten,88,7
größe,3832,4
haben,29925,4
einsatz,6621,6
